unix,time,n1,n2,diff,volume
2018-06-16,08:00:00,6467.899341398121,6457.716024995966,10.18331640215456,100.04413931000002
2018-06-16,09:00:00,6473.747536853675,6467.899341398121,5.84819545555456,95.35893319000004
2018-06-16,10:00:00,6476.634034443817,6473.747536853675,2.8864975901415164,243.13275425999973
2018-06-16,11:00:00,6473.96169269783,6476.634034443817,-2.672341745987069,98.69988771000004
2018-06-16,12:00:00,6465.44832119162,6473.96169269783,-8.513371506209296,180.35485708000007
2018-06-16,13:00:00,6450.381888763412,6465.44832119162,-15.066432428208827,457.50371326999914
2018-06-16,14:00:00,6434.046089628539,6450.381888763412,-16.335799134872104,38.38528025000004
2018-06-16,15:00:00,6410.146664011455,6434.046089628539,-23.89942561708449,211.36153797999947
2018-06-16,16:00:00,6414.602477262643,6410.146664011455,4.455813251188374,533.0025210600002
2018-06-16,17:00:00,6438.6894693020495,6414.602477262643,24.08699203940614,202.28456309000012
2018-06-16,18:00:00,6469.969803984835,6438.6894693020495,31.280334682785906,17.19865812
2018-06-16,19:00:00,6494.001377298943,6469.969803984835,24.031573314107845,55.00608067
2018-06-16,20:00:00,6515.471119045939,6494.001377298943,21.46974174699608,117.67495600000001
2018-06-16,21:00:00,6534.285092940832,6515.471119045939,18.813973894893024,136.1072488599999
2018-06-16,22:00:00,6546.0741831189,6534.285092940832,11.789090178067454,123.30644832000007
2018-06-16,23:00:00,6542.155406045817,6546.0741831189,-3.91877707308322,100.56705105
2018-06-17,00:00:00,6534.370267579856,6542.155406045817,-7.785138465960699,32.78390519
2018-06-17,01:00:00,6528.777427805114,6534.370267579856,-5.59283977474206,105.68189027
2018-06-17,02:00:00,6525.288206874647,6528.777427805114,-3.489220930467127,31.00827441
2018-06-17,03:00:00,6526.143667293499,6525.288206874647,0.8554604188520898,20.98469800000001
2018-06-17,04:00:00,6528.782476229128,6526.143667293499,2.6388089356296405,147.18534428999996
2018-06-17,05:00:00,6529.277360929055,6528.782476229128,0.4948846999268426,30.44093896
2018-06-17,06:00:00,6525.396013022304,6529.277360929055,-3.881347906751216,71.90683049000006
2018-06-17,07:00:00,6524.056337395136,6525.396013022304,-1.3396756271677077,98.57559741999998
2018-06-17,08:00:00,6521.217381977495,6524.056337395136,-2.8389554176410456,548.8955231299999
2018-06-17,09:00:00,6520.479533783376,6521.217381977495,-0.7378481941195787,46.16354231000002
2018-06-17,10:00:00,6520.996099005808,6520.479533783376,0.5165652224322912,62.69734397000005
2018-06-17,11:00:00,6519.747586538072,6520.996099005808,-1.2485124677359636,74.80979008000018
2018-06-17,12:00:00,6507.772926665724,6519.747586538072,-11.974659872347729,93.11814388000002
2018-06-17,13:00:00,6496.076368854358,6507.772926665724,-11.696557811365892,66.42437595
2018-06-17,14:00:00,6484.071946766354,6496.076368854358,-12.004422088004503,40.30330088000002
2018-06-17,15:00:00,6482.150534403486,6484.071946766354,-1.9214123628680682,342.83724940000013
2018-06-17,16:00:00,6486.219899043116,6482.150534403486,4.069364639630294,80.38479139000025
2018-06-17,17:00:00,6492.717240537027,6486.219899043116,6.497341493910426,23.58809959
2018-06-17,18:00:00,6501.238660663871,6492.717240537027,8.521420126844532,22.336532760000008
2018-06-17,19:00:00,6509.263849998993,6501.238660663871,8.025189335121468,112.62465339000003
2018-06-17,20:00:00,6510.65308580201,6509.263849998993,1.3892358030170726,225.56846845000038
2018-06-17,21:00:00,6508.5299634992325,6510.65308580201,-2.1231223027771193,200.94492729000007
2018-06-17,22:00:00,6502.793129562595,6508.5299634992325,-5.736833936637595,110.81228695000007
2018-06-17,23:00:00,6489.768247660723,6502.793129562595,-13.024881901871595,238.6787140699993
2018-06-18,00:00:00,6464.07573823304,6489.768247660723,-25.692509427683035,199.32051504999995
2018-06-18,01:00:00,6439.346188669638,6464.07573823304,-24.729549563402543,232.54930249000014
2018-06-18,02:00:00,6421.629311678228,6439.346188669638,-17.716876991409663,53.798332299999984
2018-06-18,03:00:00,6408.236945430347,6421.629311678228,-13.392366247881,204.15820668000055
2018-06-18,04:00:00,6398.447103381867,6408.236945430347,-9.78984204847984,170.5181111999999
2018-06-18,05:00:00,6395.866797965234,6398.447103381867,-2.580305416633564,129.74319437999998
2018-06-18,06:00:00,6403.084690197225,6395.866797965234,7.217892231991755,217.43051411000008
2018-06-18,07:00:00,6412.705179554529,6403.084690197225,9.620489357303995,84.82427327000005
2018-06-18,08:00:00,6429.967041219651,6412.705179554529,17.261861665121614,355.06639650999983
2018-06-18,09:00:00,6445.33960358353,6429.967041219651,15.372562363879297,245.1837555799991
2018-06-18,10:00:00,6453.287133404252,6445.33960358353,7.947529820721684,295.0016811699988
2018-06-18,11:00:00,6452.456342890418,6453.287133404252,-0.8307905138344722,356.49487741
2018-06-18,12:00:00,6446.012282583489,6452.456342890418,-6.4440603069288045,161.1066737699999
2018-06-18,13:00:00,6441.567752001492,6446.012282583489,-4.444530581996332,214.43079593999985
2018-06-18,14:00:00,6442.732952226344,6441.567752001492,1.1652002248520148,244.45562524
2018-06-18,15:00:00,6448.6501304247,6442.732952226344,5.917178198355941,95.98417720000006
2018-06-18,16:00:00,6492.255859104017,6448.6501304247,43.6057286793166,893.1692266299991
2018-06-18,17:00:00,6567.656968596231,6492.255859104017,75.40110949221435,747.0133327599998
2018-06-18,18:00:00,6650.6851232405015,6567.656968596231,83.02815464427022,260.6863071899998
2018-06-18,19:00:00,6714.18475601456,6650.6851232405015,63.49963277405823,193.4229165100002
2018-06-18,20:00:00,6758.788923126563,6714.18475601456,44.60416711200287,143.8654963699999
2018-06-18,21:00:00,6782.021002309026,6758.788923126563,23.232079182463167,107.28818175000023
2018-06-18,22:00:00,6784.254038098936,6782.021002309026,2.233035789909991,254.8002397399999
2018-06-18,23:00:00,6771.876259730177,6784.254038098936,-12.37777836875921,79.8614197700001
2018-06-19,00:00:00,6755.141820274059,6771.876259730177,-16.734439456117798,202.07814372999968
2018-06-19,01:00:00,6740.0871300012095,6755.141820274059,-15.054690272849257,71.73333925000001
2018-06-19,02:00:00,6723.035276856296,6740.0871300012095,-17.051853144913366,105.56694350000008
2018-06-19,03:00:00,6706.810564072962,6723.035276856296,-16.224712783334326,65.03201637
2018-06-19,04:00:00,6698.118515467452,6706.810564072962,-8.692048605509626,110.73295328000007
2018-06-19,05:00:00,6695.22489778273,6698.118515467452,-2.893617684721903,70.30803032999997
2018-06-19,06:00:00,6693.722149814472,6695.22489778273,-1.502747968258518,220.50096376
2018-06-19,07:00:00,6695.345171210776,6693.722149814472,1.6230213963044662,90.70217279000013
2018-06-19,08:00:00,6696.652489387554,6695.345171210776,1.3073181767776987,113.58650560000002
2018-06-19,09:00:00,6701.965661374729,6696.652489387554,5.313171987175338,170.15971168000004
2018-06-19,10:00:00,6707.13936201803,6701.965661374729,5.173700643300435,420.7589109399985
2018-06-19,11:00:00,6713.978168962249,6707.13936201803,6.838806944218959,690.1948533399992
2018-06-19,12:00:00,6728.6644664283685,6713.978168962249,14.686297466119868,341.13137914999936
2018-06-19,13:00:00,6744.508616121843,6728.6644664283685,15.84414969347472,738.6622072199992
2018-06-19,14:00:00,6755.810941911348,6744.508616121843,11.30232578950472,263.31974393
2018-06-19,15:00:00,6761.343643497418,6755.810941911348,5.532701586070289,306.2032163700002
2018-06-19,16:00:00,6756.3837797451,6761.343643497418,-4.959863752318597,375.45366301999917
2018-06-19,17:00:00,6747.234207898081,6756.3837797451,-9.149571847018706,134.9548524
2018-06-19,18:00:00,6734.52459145862,6747.234207898081,-12.70961643946066,54.53941703000003
2018-06-19,19:00:00,6728.216425168386,6734.52459145862,-6.308166290234112,249.02148077999996
2018-06-19,20:00:00,6718.384459571872,6728.216425168386,-9.831965596514237,232.81110202999992
2018-06-19,21:00:00,6713.05477441619,6718.384459571872,-5.329685155681545,257.57138038999994
2018-06-19,22:00:00,6712.996659877391,6713.05477441619,-0.05811453879960027,50.810740700000004
